053 18.36 N,006 08.14 W,Start,ST
053 18.36 N,006 09.00 W,Salthill,A
053 19.02 N,006 08.15 W,Saoirse,B
053 19.48 N,006 08.60 W,Seapoint,C
053 20.00 N,006 08.30 W,Sth Bull,D
053 20.22 N,006 07.45 W,Sth Bar,E
053 20.08 N,006 06.70 W,Bligh,F
053 19.60 N,006 06.30 W,New Ross,G
053 18.56 N,006 07.40 W,Harbour,H
053 19.11 N,006 06.56 W,Asgard,J
053 18.85 N,006 07.37 W,Boyd,K
053 18.92 N,006 09.20 W,Merrion,L
053 19.55 N,006 07.48 W,Middle,M
053 18.28 N,006 06.28 W,Molly,N
053 17.82 N,006 05.40 W,Poldy,P
053 17.45 N,006 05.58 W,Island,Q
053 17.28 N,006 06.16 W,Bulloch,R
053 18.16 N,006 05.68 W,East,S
053 17.46 N,006 06.68 W,40 ft,T
053 18.10 N,006 06.84 W,Pier,V
053 17.73 N,006 07.10 W,Martello,W
053 18.43 N,006 08.34 W,Omega,Y
053 17.78 N,006 06.23 W,Zebra,Z
053 18.74 N,006 06.16 W,Turning,X
