# A
0,DP LP KP EP CP KP MP XP
1,DP LP KP EP XP
2,DP LP KP MP XP
3,DP YS AP XP
4,DP LP XP
# B
5,FP DP BP EP AS LS XP
6,FP DP BP EP XP
7,MP CP BP EP XP
8,MP AS LS XP
9,MP CP XP
# C
10,GP DP BP FP CP AP XP
11,GP DP BP FP CP WP XP
12,GP MP BP MP LP WP XP
13,GP MP LP AP XP
14,GP MP XP
# D
15,PP MP WP GP MP XP
16,JP CS FS AP XP
17,JP MP BP GP WP XP
18,JP YP HP WP XP
19,JP WP XP
# E
20,ZP MP LP PP FP XP
21,ZP MP WP JP BP XP
22,ZP MP BP JP BP XP
23,ZP JP AP XP
24,ZP KP AP XP
# F
25,VP DS PS WP XP
26,VP DS GS WP XP
27,VP MP LP KS WP XP
28,VP MP WP XP
29,VP LP XP
# G
30,TP MP DP JS CP KS XP
31,TP MP DP JS WP XP
32,TP MP CP KS WP XP
33,TP BP WP XP
34,TP WP XP
# H
35,TP PP EP JS LP XP
36,TP MP DP KS LP XP
37,TP JP LP YP LP XP
38,TP MP LP XP
39,TP WP XP
# J
40,GP FP JP FP EP KP MP DP
41,KP EP KP MP DP LP XP
42,KP MP DP BP DP LP XP
43,KP DP LP XP
44,MP LP XP
# K
45,GP FP KS EP BS CP WP XP
46,GP FP KS DP WP XP
47,GP DP WP XP
48,HP DP WP XP
49,HP CP WP XP
# L
50,JP FP LP GP FP WP XP
51,JP FP BP MP WP XP
52,JP FP WP XP
53,JP MP WP XP
54,KP MP AP XP
# M
55,AS GP BS FP CP MS XP
56,AS GP BS GP XP
57,AS GP FP CP MS XP
58,AS GP XP
59,AS MS XP
# N
60,AS GP CP KP GP CP WP XP
61,AS GP CP KP JP WP XP
62,AS JP BP KP JP WP XP
63,AS JP WP XP
64,AS KP WP XP
# P
65,WS GP DP ZS LP XP
66,WS GP DP KS LP XP
67,WS BS JS ZS LP XP
68,WS BS KS LP XP
69,WS YP LP XP
# Q
70,WS GP EP MP JP DP LP XP
71,WS ZP DP LP XP
72,WS JP DP LP XP
73,WS KP CP LP XP
74,WS YP LP XP
# R
75,LS GP EP MP JP DP CP XP
76,LS JP MP JP DP CP XP
77,LS JP DP CP XP
78,LS KP CP XP
79,LS BP CP XP
